"","ratd","ratr","ratrd","Name","Name_f","Byear","PDGA","year","Age"
"12673","12-Apr-2022",990,9,"Monroe","Tom",1947,33,2022,75
"12674","13-Apr-2021",990,9,"Monroe","Tom",1947,33,2021,74
"12675","9-Mar-2021",990,9,"Monroe","Tom",1947,33,2021,74
"12676","12-Jan-2021",990,9,"Monroe","Tom",1947,33,2021,74
"12677","10-Sep-2019",990,9,"Monroe","Tom",1947,33,2019,72
"12678","31-Jan-2018",984,10,"Monroe","Tom",1947,33,2018,71
"12679","24-Jun-2008",984,10,"Monroe","Tom",1947,33,2008,61
"12680","29-Apr-2008",984,9,"Monroe","Tom",1947,33,2008,61
"12681","13-Nov-2007",986,9,"Monroe","Tom",1947,33,2007,60
"12682","26-Jun-2007",991,18,"Monroe","Tom",1947,33,2007,60
"12683","19-Dec-2006",1000,18,"Monroe","Tom",1947,33,2006,59
"12684","19-Sep-2006",999,22,"Monroe","Tom",1947,33,2006,59
"12685","27-Jun-2006",992,21,"Monroe","Tom",1947,33,2006,59
"12686","15-Dec-2005",989,16,"Monroe","Tom",1947,33,2005,58
"12687","4-Oct-2005",994,10,"Monroe","Tom",1947,33,2005,58
"12688","15-Sep-2005",1002,8,"Monroe","Tom",1947,33,2005,58
"12689","15-Jul-2005",1001,8,"Monroe","Tom",1947,33,2005,58
"12690","15-May-2005",989,9,"Monroe","Tom",1947,33,2005,58
"12691","15-Sep-2004",988,19,"Monroe","Tom",1947,33,2004,57
"12692","15-Feb-2004",986,19,"Monroe","Tom",1947,33,2004,57
"12693","15-Dec-2003",988,17,"Monroe","Tom",1947,33,2003,56
"12694","15-Jul-2003",997,18,"Monroe","Tom",1947,33,2003,56
"12695","31-Dec-2002",994,23,"Monroe","Tom",1947,33,2002,55
"12696","30-Sep-2002",993,21,"Monroe","Tom",1947,33,2002,55
"12697","27-May-2002",998,21,"Monroe","Tom",1947,33,2002,55
"12698","26-Aug-2001",999,19,"Monroe","Tom",1947,33,2001,54
"12699","1-Jul-2001",992,20,"Monroe","Tom",1947,33,2001,54
"12700","29-Apr-2001",986,23,"Monroe","Tom",1947,33,2001,54
"12701","16-Dec-2000",987,20,"Monroe","Tom",1947,33,2000,53
"12702","27-Aug-2000",987,18,"Monroe","Tom",1947,33,2000,53
"12703","25-Jun-2000",993,20,"Monroe","Tom",1947,33,2000,53
"12704","30-Apr-2000",998,17,"Monroe","Tom",1947,33,2000,53
"12705","29-Aug-1999",990,22,"Monroe","Tom",1947,33,1999,52
"12706","27-Jun-1999",976,11,"Monroe","Tom",1947,33,1999,52
"12707","8-Aug-1998",957,8,"Monroe","Tom",1947,33,1998,51
"21356","11-Mar-2025",930,16,"Wolfe","Lavone",1954,580,2025,71
"21357","8-Oct-2024",935,15,"Wolfe","Lavone",1954,580,2024,70
"21358","10-Sep-2024",934,13,"Wolfe","Lavone",1954,580,2024,70
"21359","9-Jul-2024",946,8,"Wolfe","Lavone",1954,580,2024,70
"21360","11-Jun-2024",932,9,"Wolfe","Lavone",1954,580,2024,70
"21361","9-May-2023",936,10,"Wolfe","Lavone",1954,580,2023,69
"21362","14-Mar-2023",935,9,"Wolfe","Lavone",1954,580,2023,69
"21363","14-Feb-2023",941,8,"Wolfe","Lavone",1954,580,2023,69
"21364","13-Sep-2022",936,9,"Wolfe","Lavone",1954,580,2022,68
"21365","14-Jun-2022",936,9,"Wolfe","Lavone",1954,580,2022,68
"21366","8-Jun-2021",952,17,"Wolfe","Lavone",1954,580,2021,67
"21367","11-May-2021",952,17,"Wolfe","Lavone",1954,580,2021,67
"21368","9-Feb-2021",959,16,"Wolfe","Lavone",1954,580,2021,67
"21369","12-Jan-2021",963,15,"Wolfe","Lavone",1954,580,2021,67
"21370","8-Dec-2020",963,15,"Wolfe","Lavone",1954,580,2020,66
"21371","13-Oct-2020",963,15,"Wolfe","Lavone",1954,580,2020,66
"21372","11-Aug-2020",967,11,"Wolfe","Lavone",1954,580,2020,66
"21373","14-Jul-2020",951,9,"Wolfe","Lavone",1954,580,2020,66
"21374","10-Mar-2020",959,8,"Wolfe","Lavone",1954,580,2020,66
"21375","8-Oct-2019",957,9,"Wolfe","Lavone",1954,580,2019,65
"21376","10-Sep-2019",953,8,"Wolfe","Lavone",1954,580,2019,65
"21377","13-Aug-2019",954,10,"Wolfe","Lavone",1954,580,2019,65
"21378","11-Jun-2019",958,8,"Wolfe","Lavone",1954,580,2019,65
"21379","18-Dec-2018",961,9,"Wolfe","Lavone",1954,580,2018,64
"21380","26-Jun-2018",944,13,"Wolfe","Lavone",1954,580,2018,64
"21381","22-May-2018",941,9,"Wolfe","Lavone",1954,580,2018,64
"21382","13-Mar-2018",949,10,"Wolfe","Lavone",1954,580,2018,64
"21383","12-Dec-2017",938,8,"Wolfe","Lavone",1954,580,2017,63
"21384","27-Jun-2017",946,17,"Wolfe","Lavone",1954,580,2017,63
"21385","26-Apr-2017",962,19,"Wolfe","Lavone",1954,580,2017,63
"21386","6-Dec-2016",956,23,"Wolfe","Lavone",1954,580,2016,62
"21387","20-Sep-2016",955,24,"Wolfe","Lavone",1954,580,2016,62
"21388","21-Jun-2016",950,25,"Wolfe","Lavone",1954,580,2016,62
"21389","17-May-2016",951,20,"Wolfe","Lavone",1954,580,2016,62
"21390","19-Apr-2016",953,18,"Wolfe","Lavone",1954,580,2016,62
"21391","26-Jan-2016",953,17,"Wolfe","Lavone",1954,580,2016,62
"21392","8-Dec-2015",966,15,"Wolfe","Lavone",1954,580,2015,61
"21393","17-Nov-2015",967,13,"Wolfe","Lavone",1954,580,2015,61
"21394","1-Sep-2015",963,14,"Wolfe","Lavone",1954,580,2015,61
"21395","23-Jun-2015",957,15,"Wolfe","Lavone",1954,580,2015,61
"21396","28-Apr-2015",962,15,"Wolfe","Lavone",1954,580,2015,61
"21397","16-Dec-2014",970,22,"Wolfe","Lavone",1954,580,2014,60
"21398","18-Nov-2014",969,23,"Wolfe","Lavone",1954,580,2014,60
"21399","30-Sep-2014",972,21,"Wolfe","Lavone",1954,580,2014,60
"21400","26-Aug-2014",969,19,"Wolfe","Lavone",1954,580,2014,60
"21401","24-Jun-2014",970,17,"Wolfe","Lavone",1954,580,2014,60
"21402","15-Apr-2014",976,15,"Wolfe","Lavone",1954,580,2014,60
"21403","18-Mar-2014",979,13,"Wolfe","Lavone",1954,580,2014,60
"21404","18-Feb-2014",983,13,"Wolfe","Lavone",1954,580,2014,60
"21405","21-Jan-2014",976,12,"Wolfe","Lavone",1954,580,2014,60
"21406","19-Nov-2013",963,9,"Wolfe","Lavone",1954,580,2013,59
"21407","26-Mar-2013",971,32,"Wolfe","Lavone",1954,580,2013,59
"21408","26-Feb-2013",969,31,"Wolfe","Lavone",1954,580,2013,59
"21409","29-Jan-2013",970,30,"Wolfe","Lavone",1954,580,2013,59
"21410","18-Dec-2012",970,30,"Wolfe","Lavone",1954,580,2012,58
"21411","18-Sep-2012",976,28,"Wolfe","Lavone",1954,580,2012,58
"21412","14-Aug-2012",975,24,"Wolfe","Lavone",1954,580,2012,58
"21413","15-May-2012",976,25,"Wolfe","Lavone",1954,580,2012,58
"21414","24-Jan-2012",976,24,"Wolfe","Lavone",1954,580,2012,58
"21415","20-Dec-2011",977,25,"Wolfe","Lavone",1954,580,2011,57
"21416","25-Oct-2011",973,23,"Wolfe","Lavone",1954,580,2011,57
"21417","12-Jul-2011",967,21,"Wolfe","Lavone",1954,580,2011,57
"21418","21-Jun-2011",963,21,"Wolfe","Lavone",1954,580,2011,57
"21419","17-May-2011",956,16,"Wolfe","Lavone",1954,580,2011,57
"21420","29-Mar-2011",961,15,"Wolfe","Lavone",1954,580,2011,57
"21421","22-Feb-2011",963,13,"Wolfe","Lavone",1954,580,2011,57
"21422","25-Jan-2011",966,13,"Wolfe","Lavone",1954,580,2011,57
"21423","26-Oct-2010",968,20,"Wolfe","Lavone",1954,580,2010,56
"21424","31-Aug-2010",969,25,"Wolfe","Lavone",1954,580,2010,56
"21425","22-Jun-2010",974,29,"Wolfe","Lavone",1954,580,2010,56
"21426","4-May-2010",982,27,"Wolfe","Lavone",1954,580,2010,56
"21427","15-Dec-2009",981,29,"Wolfe","Lavone",1954,580,2009,55
"21428","20-Oct-2009",981,27,"Wolfe","Lavone",1954,580,2009,55
"21429","1-Sep-2009",983,28,"Wolfe","Lavone",1954,580,2009,55
"21430","21-Jul-2009",991,24,"Wolfe","Lavone",1954,580,2009,55
"21431","19-May-2009",981,29,"Wolfe","Lavone",1954,580,2009,55
"21432","27-Jan-2009",979,37,"Wolfe","Lavone",1954,580,2009,55
"21433","25-Nov-2008",977,33,"Wolfe","Lavone",1954,580,2008,54
"21434","9-Sep-2008",980,33,"Wolfe","Lavone",1954,580,2008,54
"21435","24-Jun-2008",977,31,"Wolfe","Lavone",1954,580,2008,54
"21436","29-Apr-2008",976,30,"Wolfe","Lavone",1954,580,2008,54
"21437","29-Jan-2008",980,24,"Wolfe","Lavone",1954,580,2008,54
"21438","13-Nov-2007",979,22,"Wolfe","Lavone",1954,580,2007,53
"21439","26-Jun-2007",978,50,"Wolfe","Lavone",1954,580,2007,53
"21440","10-Apr-2007",982,51,"Wolfe","Lavone",1954,580,2007,53
"21441","19-Dec-2006",984,64,"Wolfe","Lavone",1954,580,2006,52
"21442","19-Sep-2006",985,64,"Wolfe","Lavone",1954,580,2006,52
"21443","27-Jun-2006",986,50,"Wolfe","Lavone",1954,580,2006,52
"21444","24-Jan-2006",988,30,"Wolfe","Lavone",1954,580,2006,52
"21445","15-Dec-2005",987,26,"Wolfe","Lavone",1954,580,2005,51
"21446","15-Jul-2005",983,16,"Wolfe","Lavone",1954,580,2005,51
"21447","15-May-2005",981,14,"Wolfe","Lavone",1954,580,2005,51
"21448","15-Sep-2004",976,25,"Wolfe","Lavone",1954,580,2004,50
